=== bench . ===
goos: linux
goarch: amd64
pkg: github.com/axonops/audit
cpu: AMD Ryzen 9 7950X 16-Core Processor            
BenchmarkAudit-32                                          	 3471384	       341.6 ns/op	     270 B/op	       1 allocs/op
BenchmarkAudit-32                                          	 4087468	       297.6 ns/op	     257 B/op	       1 allocs/op
BenchmarkAudit-32                                          	 3697861	       319.0 ns/op	     239 B/op	       1 allocs/op
BenchmarkAudit-32                                          	 3954859	       298.2 ns/op	     258 B/op	       1 allocs/op
BenchmarkAudit-32                                          	 3974835	       298.5 ns/op	     267 B/op	       1 allocs/op
BenchmarkAuditDisabledCategory-32                          	 4478334	       249.7 ns/op	     206 B/op	       1 allocs/op
BenchmarkAuditDisabledCategory-32                          	 4941891	       234.2 ns/op	     198 B/op	       1 allocs/op
BenchmarkAuditDisabledCategory-32                          	 5408182	       238.6 ns/op	     205 B/op	       1 allocs/op
BenchmarkAuditDisabledCategory-32                          	 4556631	       498.0 ns/op	     191 B/op	       1 allocs/op
BenchmarkAuditDisabledCategory-32                          	 1805031	       817.4 ns/op	     242 B/op	       1 allocs/op
BenchmarkAuditDisabledLogger-32                            	17222047	        79.16 ns/op	      24 B/op	       1 allocs/op
BenchmarkAuditDisabledLogger-32                            	14628675	        76.06 ns/op	      24 B/op	       1 allocs/op
BenchmarkAuditDisabledLogger-32                            	14368053	        76.31 ns/op	      24 B/op	       1 allocs/op
BenchmarkAuditDisabledLogger-32                            	19618698	        73.12 ns/op	      24 B/op	       1 allocs/op
BenchmarkAuditDisabledLogger-32                            	17801862	        62.35 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_RealisticFields-32                          	 1690538	       685.4 ns/op	     530 B/op	       2 allocs/op
BenchmarkAudit_RealisticFields-32                          	 1820446	       676.8 ns/op	     511 B/op	       2 allocs/op
BenchmarkAudit_RealisticFields-32                          	 1818182	       667.3 ns/op	     515 B/op	       2 allocs/op
BenchmarkAudit_RealisticFields-32                          	 1766089	       661.4 ns/op	     511 B/op	       2 allocs/op
BenchmarkAudit_RealisticFields-32                          	 1715574	       661.8 ns/op	     515 B/op	       2 allocs/op
BenchmarkAudit_Parallel-32                                 	17891528	        68.45 ns/op	      27 B/op	       1 allocs/op
BenchmarkAudit_Parallel-32                                 	21259778	        58.32 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallel-32                                 	19303693	        59.07 ns/op	      25 B/op	       1 allocs/op
BenchmarkAudit_Parallel-32                                 	18906646	        58.89 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallel-32                                 	18625116	        62.19 ns/op	      26 B/op	       1 allocs/op
BenchmarkAudit_PoolAmortised-32                            	 3638026	       321.3 ns/op	     258 B/op	       1 allocs/op
BenchmarkAudit_PoolAmortised-32                            	 3565792	       327.9 ns/op	     250 B/op	       1 allocs/op
BenchmarkAudit_PoolAmortised-32                            	 3528205	       325.8 ns/op	     251 B/op	       1 allocs/op
BenchmarkAudit_PoolAmortised-32                            	 3708603	       320.1 ns/op	     258 B/op	       1 allocs/op
BenchmarkAudit_PoolAmortised-32                            	 3712032	       307.6 ns/op	     249 B/op	       1 allocs/op
BenchmarkAudit_FanOut_SharedFormatter-32                   	 4172412	       287.9 ns/op	     386 B/op	       2 allocs/op
BenchmarkAudit_FanOut_SharedFormatter-32                   	 4183681	       282.3 ns/op	     347 B/op	       2 allocs/op
BenchmarkAudit_FanOut_SharedFormatter-32                   	 4114221	       278.7 ns/op	     346 B/op	       2 allocs/op
BenchmarkAudit_FanOut_SharedFormatter-32                   	 4091508	       281.3 ns/op	     348 B/op	       2 allocs/op
BenchmarkAudit_FanOut_SharedFormatter-32                   	 3967394	       275.3 ns/op	     337 B/op	       2 allocs/op
BenchmarkAudit_FanOut_MixedFormatters-32                   	 4178379	       287.5 ns/op	     291 B/op	       2 allocs/op
BenchmarkAudit_FanOut_MixedFormatters-32                   	 4133359	       291.2 ns/op	     287 B/op	       2 allocs/op
BenchmarkAudit_FanOut_MixedFormatters-32                   	 3961770	       274.4 ns/op	     274 B/op	       2 allocs/op
BenchmarkAudit_FanOut_MixedFormatters-32                   	 4159651	       277.1 ns/op	     279 B/op	       2 allocs/op
BenchmarkAudit_FanOut_MixedFormatters-32                   	 4162183	       276.2 ns/op	     277 B/op	       2 allocs/op
BenchmarkAudit_FanOut_FilteredOutputs-32                   	 3456778	       312.4 ns/op	     329 B/op	       2 allocs/op
BenchmarkAudit_FanOut_FilteredOutputs-32                   	 3992176	       291.6 ns/op	     316 B/op	       2 allocs/op
BenchmarkAudit_FanOut_FilteredOutputs-32                   	 3961200	       292.6 ns/op	     317 B/op	       2 allocs/op
BenchmarkAudit_FanOut_FilteredOutputs-32                   	 3893401	       293.7 ns/op	     322 B/op	       2 allocs/op
BenchmarkAudit_FanOut_FilteredOutputs-32                   	 3931946	       296.4 ns/op	     323 B/op	       2 allocs/op
BenchmarkAudit_FanOut_5Outputs-32                          	 3677871	       278.8 ns/op	     393 B/op	       2 allocs/op
BenchmarkAudit_FanOut_5Outputs-32                          	 4317368	       268.0 ns/op	     392 B/op	       2 allocs/op
BenchmarkAudit_FanOut_5Outputs-32                          	 4295853	       266.7 ns/op	     396 B/op	       2 allocs/op
BenchmarkAudit_FanOut_5Outputs-32                          	 4283566	       278.4 ns/op	     400 B/op	       2 allocs/op
BenchmarkAudit_FanOut_5Outputs-32                          	 4141562	       274.4 ns/op	     397 B/op	       2 allocs/op
BenchmarkAudit_EndToEnd-32                                 	 3263434	       334.7 ns/op	     270 B/op	       1 allocs/op
BenchmarkAudit_EndToEnd-32                                 	 3238387	       331.6 ns/op	     269 B/op	       1 allocs/op
BenchmarkAudit_EndToEnd-32                                 	 3249274	       326.3 ns/op	     269 B/op	       1 allocs/op
BenchmarkAudit_EndToEnd-32                                 	 3370981	       326.4 ns/op	     263 B/op	       1 allocs/op
BenchmarkAudit_EndToEnd-32                                 	 3168600	       332.6 ns/op	     272 B/op	       1 allocs/op
BenchmarkAudit_WithHMAC-32                                 	 3317532	       306.5 ns/op	     248 B/op	       1 allocs/op
BenchmarkAudit_WithHMAC-32                                 	 3616936	       299.8 ns/op	     252 B/op	       1 allocs/op
BenchmarkAudit_WithHMAC-32                                 	 3695005	       306.0 ns/op	     252 B/op	       1 allocs/op
BenchmarkAudit_WithHMAC-32                                 	 3339856	       369.5 ns/op	     299 B/op	       2 allocs/op
BenchmarkAudit_WithHMAC-32                                 	 3619392	       300.6 ns/op	     248 B/op	       1 allocs/op
